San-Francisco	New-York		Moscow			Orenburg		Minsk			Tokio			Beijing			Sydney			Cape-Town		Rio-de-Janeiro

0				4860			0				0				0				0				0				0				0				10600
4860			0				7500			0				7100			0				0				0				0				7800
0				7500			0				1470			700				7000			5500			14500			10100			0
0				0				1470			2204			0				0				0				0				0				0
0				7100			700				0				0				0				6500			0				0				8100
0				0				7000			0				0				0				1500			0				0				0
0				0				5500			0				6500			1500			0				9800			0				0
0				0				14500			0				0				0				9800			0				11000			0
0				0				10100			0				0				0				0				11000			0				6100
10600			7800			0				0				8100			0				0				0				6100			0			
